name,gender,origins
Afrodite,f,"Greek Mythology (Italianized, Portuguesified)"
Afroditi,f,Greek
Afsaneh,f,Persian
Afsoon,f,Persian
Afsoun,f,Persian
Afsun,f,Persian
Afua,f,Akan
Afzal,m,"Arabic, Urdu"
Ağa,m,Azerbaijani
Aga,f,Polish
Agabos,m,Biblical Greek
Agabus,m,"Biblical, Biblical Latin"
Agafon,m,Russian (Rare)
Agafya,f,Russian (Rare)
Agam,f,Hebrew
Agamemnon,m,"Greek Mythology, Greek"
Agape,f,Ancient Greek
Agapetos,m,Ancient Greek
Agapetus,m,Ancient Greek (Latinized)
Agapi,f,Greek
Agapios,m,"Greek, Ancient Greek"
Agapito,m,"Spanish, Italian (Rare)"
Agapitos,m,Greek
Agapius,m,Ancient Greek (Latinized)
Agar,f,"Biblical Latin, Biblical Greek, Biblical French, Biblical Italian"
Ágata,f,"Spanish, Portuguese"
Agáta,f,"Czech, Slovak"
Agata,f,"Italian, Polish, Slovene, Russian, Croatian, Serbian, Swedish"
Agate,f,Latvian
Agatha,f,"English, German, Dutch, Ancient Greek (Latinized)"
Agathangelos,m,Ancient Greek
Agathe,f,"French, German, Norwegian (Rare), Danish (Rare), Ancient Greek"
Agathi,f,Greek
Agathinos,m,Ancient Greek
Agathinus,m,Ancient Greek (Latinized)
Agathocles,m,Ancient Greek (Latinized)
Agathokles,m,Ancient Greek
Agathon,m,Ancient Greek
Agatino,m,Italian
Agatka,f,Polish
Agaue,f,Greek Mythology
Agda,f,Swedish (Rare)
Åge,m,Norwegian
Age 1,m,Frisian
Age 2,f,Estonian
Agelaos,m,"Ancient Greek, Greek Mythology"
Agelaus,m,Greek Mythology (Latinized)
Agenor,m,"Greek Mythology, Portuguese (Brazilian)"
Aggaeus,m,Biblical Latin
Aggaios,m,Biblical Greek
Aggeus,m,Biblical Latin
Aggie,f,English
Aghavni,f,Armenian
Aghi,m,Old Norse
Aghil,m,Persian
Aghlab,m,Arabic (Rare)
Ági,f,Hungarian
Agi,m,Germanic
Agilulf,m,Germanic
Agim,m,Albanian
Agimar,m,Germanic
Aginald,m,Germanic
Aglaé,f,French
Aglaea,f,Greek Mythology (Latinized)
Aglaia,f,"Greek Mythology, Greek"
Aglaya,f,Russian
Agmundr,m,Old Norse
Agnaldo,m,Portuguese (Brazilian)
Agnar,m,"Norwegian, Icelandic"
Agnarr,m,Old Norse
Agne,m,Swedish
Agnė,f,Lithuanian
Agner,m,Danish
Ágnes,f,Hungarian
Agnès,f,"French, Catalan"
Agnes,f,"English, German, Dutch, Swedish, Norwegian, Danish, Icelandic, Estonian, Late Greek (Latinized)"
Agneša,f,Slovak
Agnesa,f,"Slovak, Albanian"
Agnese,f,"Italian, Latvian"
Agness,f,English (African)
Agnessa,f,Russian
Agneta,f,Swedish
Agnete,f,"Danish, Norwegian"
Agnetha,f,Swedish
Agnethe,f,"Danish, Norwegian"
Agneza,f,Croatian
Agni 1,m,"Hinduism, Hindi"
Agni 2,f,Greek
Agni 3,m,"Norse Mythology, Old Norse"
Agnia,f,Russian (Rare)
Agnieszka,f,Polish
Agnija,f,"Serbian, Macedonian, Latvian"
Agniya,f,Russian (Rare)
Ago,m,Germanic
Agolant,m,Carolingian Cycle
Agostina,f,Italian
Agostinho,m,Portuguese
